"","grid_range","z"
"1063","grid1063",16.854
"1064","grid1064",17.179
"1065","grid1065",16.037
"1066","grid1066",16.432
"1067","grid1067",16.279
"1068","grid1068",16.433
"1069","grid1069",16.55
"1070","grid1070",16.727
"1071","grid1071",16.855
"1072","grid1072",17.281
"1073","grid1073",17.188
"1074","grid1074",17.21
"1075","grid1075",17.277
"1076","grid1076",17.275
"1077","grid1077",17.268
"1078","grid1078",17.268
"1079","grid1079",16.633
"1080","grid1080",16.794
"1081","grid1081",16.768
"1082","grid1082",16.519
"1083","grid1083",16.569
"1084","grid1084",16.674
"1085","grid1085",16.756
"1086","grid1086",16.533
"1087","grid1087",16.913
"1088","grid1088",16.936
"1089","grid1089",16.965
"1090","grid1090",16.775
"1091","grid1091",16.67
"1092","grid1092",16.415
"1093","grid1093",16.22
"1094","grid1094",17.265
"1095","grid1095",16.849
"1096","grid1096",17.018
"1097","grid1097",17.229
"1098","grid1098",16.87
"1099","grid1099",17.023
"1100","grid1100",16.538
"1101","grid1101",15.926
"1102","grid1102",15.787
"1103","grid1103",15.719
"1104","grid1104",16.658
"1105","grid1105",16.018
"1106","grid1106",16.676
"1107","grid1107",17.042
"1108","grid1108",16.165
"1109","grid1109",15.988
"1110","grid1110",15.87
"1111","grid1111",16.445
"1112","grid1112",16.5
"1113","grid1113",16.512
"1114","grid1114",16.199
"1115","grid1115",17.466
"1116","grid1116",17.481
"1117","grid1117",17.323
"1118","grid1118",17.401
"1119","grid1119",17.401
"1120","grid1120",17.415
"1121","grid1121",16.633
"1122","grid1122",16.554
"1123","grid1123",16.633
"1124","grid1124",16.226
"1125","grid1125",14.97
"1126","grid1126",16.571
"1127","grid1127",16.677
"1128","grid1128",16.651
"1129","grid1129",16.934
"1130","grid1130",16.984
"1131","grid1131",16.947
"1132","grid1132",17.025
"1133","grid1133",16.549
"1134","grid1134",16.547
"1135","grid1135",16.599
"1136","grid1136",17.118
"1137","grid1137",17.399
"1138","grid1138",17.25
"1139","grid1139",16.639
"1140","grid1140",16.966
"1141","grid1141",16.741
"1142","grid1142",16.773
"1143","grid1143",16.111
"1144","grid1144",16.562
"1145","grid1145",15.675
"1146","grid1146",16.519
"1147","grid1147",16.831
"1148","grid1148",16.919
"1149","grid1149",16.808
"1150","grid1150",14.954
"1151","grid1151",15.109
"1152","grid1152",15.172
"1153","grid1153",16.373
"1154","grid1154",16.505
"1155","grid1155",16.613
"1156","grid1156",16.26
"1157","grid1157",14.621
"1158","grid1158",17.102
"1159","grid1159",17.19
"1160","grid1160",17.465
"1161","grid1161",17.534
"1162","grid1162",17.176
"1163","grid1163",16.566
"1164","grid1164",16.389
"1165","grid1165",17.168
"1166","grid1166",17.015
"1167","grid1167",16.042
"1168","grid1168",15.998
"1169","grid1169",16.483
"1170","grid1170",16.581
"1171","grid1171",16.926
"1172","grid1172",17.061
"1173","grid1173",17.2
"1174","grid1174",17.057
"1175","grid1175",16.534
"1176","grid1176",16.55
"1177","grid1177",16.552
"1178","grid1178",17.567
"1179","grid1179",17.407
"1180","grid1180",17.224
"1181","grid1181",17.859
"1182","grid1182",17.239
"1183","grid1183",17.329
"1184","grid1184",17.363
"1185","grid1185",16.657
"1186","grid1186",16.586
"1187","grid1187",16.38
"1188","grid1188",16.459
"1189","grid1189",16.875
"1190","grid1190",16.494
"1191","grid1191",16.808
"1192","grid1192",14.126
"1193","grid1193",15.165
"1194","grid1194",15.238
"1195","grid1195",15.315
"1196","grid1196",16.343
"1197","grid1197",16.529
"1198","grid1198",16.61
"1199","grid1199",17.262
"1200","grid1200",17.281
"1201","grid1201",17.266
"1202","grid1202",17.647
"1203","grid1203",17.794
"1204","grid1204",17.587
"1205","grid1205",17.491
"1206","grid1206",17.42
"1207","grid1207",16.742
"1208","grid1208",17.135
"1209","grid1209",16.978
"1210","grid1210",16.395
"1211","grid1211",13.235
"1212","grid1212",16.768
"1213","grid1213",17.096
"1214","grid1214",17.385
"1215","grid1215",17.148
"1216","grid1216",14.698
"1217","grid1217",16.461
"1218","grid1218",16.451
"1219","grid1219",16.91
"1220","grid1220",17.601
"1221","grid1221",17.456
"1222","grid1222",17.285
"1223","grid1223",17.781
"1224","grid1224",17.91
"1225","grid1225",17.814
